t,mode,enabled,p0,p1,p2,p3,p4,p5,f_meas0,f_meas1,f_meas2,f_meas3,f_meas4,f_meas5,wrench0,wrench1,wrench2,wrench3,wrench4,wrench5
9672.1813,1,0,0.107015,-0.657568,-0.074532,2.932999,-1.094967,0.037630,9.6847,-5.1252,-5.7440,-0.2538,0.3870,-0.2960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9672.2409,1,0,0.107010,-0.657574,-0.074523,2.932954,-1.095033,0.037645,9.8510,-5.3917,-6.5379,-0.3648,0.3097,-0.2219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9672.3009,1,0,0.107013,-0.657576,-0.074523,2.932945,-1.095037,0.037642,9.8684,-5.7979,-6.4038,-0.3188,0.3577,-0.2518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9672.3609,1,0,0.107020,-0.657578,-0.074525,2.932955,-1.095005,0.037636,9.7406,-5.8780,-6.1839,-0.2890,0.3501,-0.2212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9672.4110,1,0,0.107018,-0.657577,-0.074526,2.932962,-1.095021,0.037635,9.7798,-5.2607,-6.0882,-0.3024,0.3914,-0.2820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9672.4709,1,0,0.107022,-0.657579,-0.074524,2.932953,-1.095013,0.037637,9.9269,-6.1438,-6.6866,-0.2903,0.4549,-0.2530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9672.5310,1,0,0.107017,-0.657572,-0.074532,2.932967,-1.095012,0.037607,9.6096,-5.8333,-6.1578,-0.2026,0.3966,-0.2952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9672.5909,1,0,0.107012,-0.657576,-0.074528,2.932950,-1.095027,0.037632,9.7384,-5.8940,-6.0768,-0.2055,0.3304,-0.2492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9672.6510,1,0,0.107013,-0.657579,-0.074522,2.932944,-1.095008,0.037631,10.1294,-5.6116,-5.8160,-0.1281,0.2717,-0.3812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9672.7109,1,0,0.107021,-0.657573,-0.074520,2.932957,-1.094994,0.037633,9.5462,-5.4329,-6.0132,-0.2223,0.3523,-0.2649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
